"File","RGroup","Space Value"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d90yrs.RCP45.FGOALS-s2.in","a.cool.grass","0"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d90yrs.RCP45.FGOALS-s2.in","p.cool.grass","0.310640765654459"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d90yrs.RCP45.FGOALS-s2.in","p.warm.grass","0.421750827509845"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d90yrs.RCP45.FGOALS-s2.in","shrub","0.0202636121808318"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d90yrs.RCP45.FGOALS-s2.in","succulents","0.0266694745846776"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d90yrs.RCP45.GISS-E2-R.in","sagebrush","0.0855783333440107"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d90yrs.RCP45.GISS-E2-R.in","a.cool.forb","0.0191152169485662"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d90yrs.RCP45.GISS-E2-R.in","a.warm.forb","0.0127434779657108"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d90yrs.RCP45.GISS-E2-R.in","p.cool.forb","0.101947823725687"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d90yrs.RCP45.GISS-E2-R.in","p.warm.forb","0.0254869559314217"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d90yrs.RCP45.GISS-E2-R.in","a.cool.grass","0"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d90yrs.RCP45.GISS-E2-R.in","p.cool.grass","0.330172685034184"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d90yrs.RCP45.GISS-E2-R.in","p.warm.grass","0.372783145429973"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d90yrs.RCP45.GISS-E2-R.in","shrub","0.024068906253003"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d90yrs.RCP45.GISS-E2-R.in","succulents","0.0281034553674437"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d90yrs.RCP85.FGOALS-s2.in","sagebrush","0.0281169895416407"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d90yrs.RCP85.FGOALS-s2.in","a.cool.forb","0.0187764858119335"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d90yrs.RCP85.FGOALS-s2.in","a.warm.forb","0.0125176572079557"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d90yrs.RCP85.FGOALS-s2.in","p.cool.forb","0.100141257663645"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d90yrs.RCP85.FGOALS-s2.in","p.warm.forb","0.0250353144159113"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d90yrs.RCP85.FGOALS-s2.in","a.cool.grass","0"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d90yrs.RCP85.FGOALS-s2.in","p.cool.grass","0.24937882858084"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d90yrs.RCP85.FGOALS-s2.in","p.warm.grass","0.5367402086536"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d90yrs.RCP85.FGOALS-s2.in","shrub","0.00790790330858645"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d90yrs.RCP85.FGOALS-s2.in","succulents","0.0213853548158875"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d90yrs.RCP85.GISS-E2-R.in","sagebrush","0.0963195131589221"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d90yrs.RCP85.GISS-E2-R.in","a.cool.forb","0.0191738588943113"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d90yrs.RCP85.GISS-E2-R.in","a.warm.forb","0.0127825725962075"
